Name	Unified	DoCoMo	KDDI	Softbank	Google
	black sun with rays	U+2600	U+E63E	U+E488	U+E04A	U+FE000
	cloud	U+2601	U+E63F	U+E48D	U+E049	U+FE001
	umbrella with rain drops	U+2614	U+E640	U+E48C	U+E04B	U+FE002
	snowman without snow	U+26C4	U+E641	U+E485	U+E048	U+FE003
	high voltage sign	U+26A1	U+E642	U+E487	U+E13D	U+FE004
	cyclone	U+1F300	U+E643	U+E469	U+E443	U+FE005
	foggy	U+1F301	U+E644	U+E598	-	U+FE006
	closed umbrella	U+1F302	U+E645	U+EAE8	U+E43C	U+FE007
	night with stars	U+1F303	U+E6B3	U+EAF1	U+E44B	U+FE008
	sunrise over mountains	U+1F304	U+E63E	U+EAF4	U+E04D	U+FE009
	sunrise	U+1F305	U+E63E	U+EAF4	U+E449	U+FE00A
	cityscape at dusk	U+1F306	-	U+E5DA	U+E146	U+FE00B
	sunset over buildings	U+1F307	U+E63E	U+E5DA	U+E44A	U+FE00C
	rainbow	U+1F308	-	U+EAF2	U+E44C	U+FE00D
	snowflake	U+2744	-	U+E48A	-	U+FE00E
	sun behind cloud	U+26C5	U+E63E U+E63F	U+E48E	U+E04A U+E049	U+FE00F
	bridge at night	U+1F309	U+E6B3	U+E4BF	U+E44B	U+FE010
	water wave	U+1F30A	U+E73F	U+EB7C	U+E43E	U+FE038
	volcano	U+1F30B	-	U+EB53	-	U+FE03A
	milky way	U+1F30C	U+E6B3	U+EB5F	U+E44B	U+FE03B
	earth globe asia-australia	U+1F30F	-	U+E5B3	-	U+FE039
	new moon symbol	U+1F311	U+E69C	U+E5A8	-	U+FE011
	waxing gibbous moon symbol	U+1F314	U+E69D	U+E5A9	U+E04C	U+FE012
	first quarter moon symbol	U+1F313	U+E69E	U+E5AA	U+E04C	U+FE013
	crescent moon	U+1F319	U+E69F	U+E486	U+E04C	U+FE014
	full moon symbol	U+1F315	U+E6A0	-	-	U+FE015
	first quarter moon with face	U+1F31B	U+E69E	U+E489	U+E04C	U+FE016
	glowing star	U+1F31F	-	U+E48B	U+E335	U+FEB69
	shooting star	U+1F320	-	U+E468	-	U+FEB6A
	clock face one oclock	U+1F550	U+E6BA	U+E594	U+E024	U+FE01E
	clock face two oclock	U+1F551	U+E6BA	U+E594	U+E025	U+FE01F
	clock face three oclock	U+1F552	U+E6BA	U+E594	U+E026	U+FE020
